"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 27 15:45:05 ICT 2023","Mon Mar 27 15:45:09 ICT 2023","3534","","com.example.ScreenshotTest","","com.example.ScreenshotTest","testScreencapture","testScreencapture",""
"failed","Mon Mar 27 15:46:05 ICT 2023","Mon Mar 27 15:46:07 ICT 2023","2579","","com.example.MainActivityAllureTest","","com.example.MainActivityAllureTest","testFailure","testFailure",""
"failed","Mon Mar 27 15:45:57 ICT 2023","Mon Mar 27 15:46:00 ICT 2023","2212","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky1","testTextFlaky1",""
"failed","Mon Mar 27 15:45:49 ICT 2023","Mon Mar 27 15:45:51 ICT 2023","1551","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky6","testTextFlaky6",""
"failed","Mon Mar 27 15:45:14 ICT 2023","Mon Mar 27 15:45:15 ICT 2023","897","","com.example.NamedParameterizedTest","","com.example.NamedParameterizedTest","test","test",""
"failed","Mon Mar 27 15:46:16 ICT 2023","Mon Mar 27 15:46:16 ICT 2023","1","","com.example.BeforeTestFailureTest","","com.example.BeforeTestFailureTest","testThatWillNotSeeTheLightOfDay","testThatWillNotSeeTheLightOfDay",""
"passed","Mon Mar 27 15:45:45 ICT 2023","Mon Mar 27 15:45:47 ICT 2023","2105","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky8","testTextFlaky8",""
"passed","Mon Mar 27 15:46:09 ICT 2023","Mon Mar 27 15:46:10 ICT 2023","1212","","com.example.FilePushTest","","com.example.FilePushTest","testExternalFilePresent","testExternalFilePresent",""
"passed","Mon Mar 27 15:45:36 ICT 2023","Mon Mar 27 15:45:42 ICT 2023","6151","","com.example.MainActivitySlowTest","","com.example.MainActivitySlowTest","testTextSlow2","testTextSlow2",""
"passed","Mon Mar 27 15:45:21 ICT 2023","Mon Mar 27 15:45:23 ICT 2023","1739","","com.example.MainActivityTest","","com.example.MainActivityTest","testText3","testText3",""
"passed","Mon Mar 27 15:45:16 ICT 2023","Mon Mar 27 15:45:18 ICT 2023","1965","","com.example.MainActivityTest","","com.example.MainActivityTest","testText6","testText6",""
"failed","Mon Mar 27 15:45:04 ICT 2023","Mon Mar 27 15:45:06 ICT 2023","1474","","com.example.AdbActivityTest","","com.example.AdbActivityTest","testUnsafeAccess","testUnsafeAccess",""
"passed","Mon Mar 27 15:45:55 ICT 2023","Mon Mar 27 15:45:56 ICT 2023","1931","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky3","testTextFlaky3",""
"passed","Mon Mar 27 15:45:59 ICT 2023","Mon Mar 27 15:46:03 ICT 2023","3369","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky","testTextFlaky",""
"passed","Mon Mar 27 15:45:07 ICT 2023","Mon Mar 27 15:45:07 ICT 2023","691","","com.example.ParameterizedTest","","com.example.ParameterizedTest","test","test",""
"failed","Mon Mar 27 15:46:06 ICT 2023","Mon Mar 27 15:46:07 ICT 2023","1372","","com.example.FilePushTest","","com.example.FilePushTest","testExternalFolderPresent","testExternalFolderPresent",""
"passed","Mon Mar 27 15:45:25 ICT 2023","Mon Mar 27 15:45:29 ICT 2023","3971","","com.example.MainActivityTest","","com.example.MainActivityTest","testText2","testText2",""
"passed","Mon Mar 27 15:46:10 ICT 2023","Mon Mar 27 15:46:13 ICT 2023","2557","","com.example.EdgeCaseTest","","com.example.EdgeCaseTest","testWithAVeryLongNameThatExceeds255CharactersqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNM","testWithAVeryLongNameThatExceeds255CharactersqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNMqwertyuiopasdfghjklzxcvbnmQWERTYUIOPASDFGHJKLZXCVBNM",""
"passed","Mon Mar 27 15:45:31 ICT 2023","Mon Mar 27 15:45:37 ICT 2023","6238","","com.example.MainActivitySlowTest","","com.example.MainActivitySlowTest","testTextSlow3","testTextSlow3",""
"failed","Mon Mar 27 15:46:11 ICT 2023","Mon Mar 27 15:46:12 ICT 2023","801","","com.example.ConsoleActivityTest","","com.example.ConsoleActivityTest","testVmState","testVmState",""
"passed","Mon Mar 27 15:45:26 ICT 2023","Mon Mar 27 15:45:28 ICT 2023","1820","","com.example.MainActivityTest","","com.example.MainActivityTest","testText","testText",""
"failed","Mon Mar 27 15:45:52 ICT 2023","Mon Mar 27 15:45:54 ICT 2023","1824","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky5","testTextFlaky5",""
"passed","Mon Mar 27 15:45:52 ICT 2023","Mon Mar 27 15:45:54 ICT 2023","1857","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky4","testTextFlaky4",""
"skipped","Mon Mar 27 15:46:09 ICT 2023","Mon Mar 27 15:46:10 ICT 2023","788","","com.example.FailedAssumptionTest","","com.example.FailedAssumptionTest","failedAssumptionTest","failedAssumptionTest",""
"passed","Mon Mar 27 15:45:23 ICT 2023","Mon Mar 27 15:45:25 ICT 2023","1744","","com.example.MainActivityTest","","com.example.MainActivityTest","testText1","testText1",""
"passed","Mon Mar 27 15:46:01 ICT 2023","Mon Mar 27 15:46:03 ICT 2023","2198","","com.example.MainActivityAllureTest","","com.example.MainActivityAllureTest","testText","testText",""
"failed","Mon Mar 27 15:46:04 ICT 2023","Mon Mar 27 15:46:05 ICT 2023","1272","","com.example.GrpcActivityTest","","com.example.GrpcActivityTest","testVmState","testVmState",""
"passed","Mon Mar 27 15:45:48 ICT 2023","Mon Mar 27 15:45:49 ICT 2023","1521","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky7","testTextFlaky7",""
"passed","Mon Mar 27 15:45:38 ICT 2023","Mon Mar 27 15:45:44 ICT 2023","6128","","com.example.MainActivitySlowTest","","com.example.MainActivitySlowTest","testTextSlow1","testTextSlow1",""
"passed","Mon Mar 27 15:45:12 ICT 2023","Mon Mar 27 15:45:14 ICT 2023","1812","","com.example.MainActivityTest","","com.example.MainActivityTest","testText9","testText9",""
"passed","Mon Mar 27 15:45:12 ICT 2023","Mon Mar 27 15:45:14 ICT 2023","1840","","com.example.MainActivityTest","","com.example.MainActivityTest","testText8","testText8",""
"passed","Mon Mar 27 15:45:18 ICT 2023","Mon Mar 27 15:45:20 ICT 2023","1756","","com.example.MainActivityTest","","com.example.MainActivityTest","testText5","testText5",""
"passed","Mon Mar 27 15:45:19 ICT 2023","Mon Mar 27 15:45:21 ICT 2023","1854","","com.example.MainActivityTest","","com.example.MainActivityTest","testText4","testText4",""
"passed","Mon Mar 27 15:45:29 ICT 2023","Mon Mar 27 15:45:35 ICT 2023","6361","","com.example.MainActivitySlowTest","","com.example.MainActivitySlowTest","testTextSlow4","testTextSlow4",""
"passed","Mon Mar 27 15:45:43 ICT 2023","Mon Mar 27 15:45:49 ICT 2023","6195","","com.example.MainActivitySlowTest","","com.example.MainActivitySlowTest","testTextSlow","testTextSlow",""
"passed","Mon Mar 27 15:45:16 ICT 2023","Mon Mar 27 15:45:18 ICT 2023","1772","","com.example.MainActivityTest","","com.example.MainActivityTest","testText7","testText7",""
"failed","Mon Mar 27 15:46:14 ICT 2023","Mon Mar 27 15:46:15 ICT 2023","1100","","com.example.AdbActivityTest","","com.example.AdbActivityTest","testVmState","testVmState",""
"skipped","Mon Mar 27 15:46:12 ICT 2023","Mon Mar 27 15:46:13 ICT 2023","820","","com.example.ClassIgnoredTest","","com.example.ClassIgnoredTest","testAlwaysIgnored","testAlwaysIgnored",""
"skipped","Mon Mar 27 15:46:07 ICT 2023","Mon Mar 27 15:46:08 ICT 2023","716","","com.example.FailedAssumptionTest","","com.example.FailedAssumptionTest","ignoreTest","ignoreTest",""
"passed","Mon Mar 27 15:45:55 ICT 2023","Mon Mar 27 15:45:58 ICT 2023","2363","","com.example.MainActivityFlakyTest","","com.example.MainActivityFlakyTest","testTextFlaky2","testTextFlaky2",""
